ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
BHM,KBHM,Birmingham-Shuttlesworth Intl,BIRMINGHAM,AL,33.56388888888888,-86.75230555555555,650.0,2,12007,2,8F28B39E-5E4B-4983-9CFB-53F85005C2F5
DHN,KDHN,Dothan Rgnl,DOTHAN,AL,31.321018055555555,-85.4494775,400.8,2,8500,1,5EA354CC-6A09-40D2-A5B6-7A6E9F8785B8
ANB,KANB,Anniston Rgnl,ANNISTON,AL,33.588170000000005,-85.858115,612.1,1,7002,1,D123732E-BD65-4CA9-811B-172941EA146A
HSV,KHSV,Huntsville Intl-Carl T Jones Fld,HUNTSVILLE,AL,34.63719694444445,-86.77505416666666,628.9,2,12600,2,B6BDE0BE-A205-4E67-A9A7-934A125402AA
BFM,KBFM,Mobile Intl,MOBILE,AL,30.626780555555555,-88.06809083333333,26.2,2,9618,2,8704B60B-6076-489E-8168-35AC9D94C0C5
SEM,KSEM,Craig Fld,SELMA,AL,32.34394666666667,-86.98780555555555,166.2,1,8014,1,6FFA5CA5-154E-4618-8F1A-CB87224AEAA4
MOB,KMOB,Mobile Rgnl,MOBILE,AL,30.691416666666665,-88.24283333333334,218.7,5,8502,1,9EEA238F-4012-4D93-AECE-D62464A0A3A1
MGM,KMGM,Montgomery Rgnl (Dannelly Fld),MONTGOMERY,AL,32.300638888888884,-86.39397222222223,232.0,3,9020,1,B9FD74DE-6F24-42C0-A703-1D3E6BDCC6B5
BYH,KBYH,Arkansas Intl,BLYTHEVILLE,AR,35.964333333333336,-89.94394444444445,254.1,1,11602,1,497D1A24-1926-42A6-AECE-75EE86C9C4FC
XNA,KXNA,Northwest Arkansas Ntl,FAYETTEVILLE/SPRINGDALE/ROGERS,AR,36.28157916666667,-94.30776555555555,1288.2,2,8801,2,B1B54E67-7C10-4C49-8C48-DFFE0384EE9E
FSM,KFSM,Fort Smith Rgnl,FORT SMITH,AR,35.336646944444446,-94.36610888888889,469.0,2,9318,1,7EA52980-DFCF-4142-A82C-3CD64A8B1FA9
LIT,KLIT,Bill and Hillary Clinton Ntl/Adams Fld,LITTLE ROCK,AR,34.729441388888894,-92.22477722222223,266.0,3,8273,2,8FBCF8C3-B29D-470D-B4AF-93E8218EDFD5
IFP,KIFP,Laughlin/Bullhead Intl,BULLHEAD CITY,AZ,35.15461444444444,-114.55933222222222,707.1,1,8501,1,D56FAAFF-3E25-4F9F-82F3-F2FED6CCAD0B
FLG,KFLG,Flagstaff Pulliam,FLAGSTAFF,AZ,35.14031583333333,-111.66924138888889,7014.7,1,8800,1,D09B914D-3822-48BC-B47E-6292C90FCD82
GYR,KGYR,Phoenix Goodyear,GOODYEAR,AZ,33.42327777777778,-112.3753611111111,969.1,2,8500,1,200C9978-4C41-4466-AF6F-021329283BF6
GCN,KGCN,Grand Canyon Ntl Park,GRAND CANYON,AZ,35.95236111111112,-112.14697222222223,6608.9,1,8999,1,4D3E55E9-549A-4D80-86B8-26D2F0DFFA15
HII,KHII,Lake Havasu City,LAKE HAVASU CITY,AZ,34.57112388888889,-114.35827694444444,782.8,1,8000,1,38339568-91E1-46EE-B971-E776D01CD359
