airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
05K,0.0,1.0,29201.0,1.0,29201.0,2.0
09A,0.0,9.0,1048.0,9.0,1048.0,18.0
1FL,88128.0,2.0,657476.0,7.0,745604.0,9.0
3AK,1012.0,2.0,4680.0,2.0,5692.0,4.0
7AK,6880.0,3.0,14170.0,3.0,21050.0,6.0
7CA,978.0,1.0,978.0,1.0,1956.0,2.0
A1K,75075.0,5.0,162044.0,5.0,237119.0,10.0
A20,1186634.0,175.0,6132208.0,176.0,7318842.0,351.0
A52,0.0,4.0,0.0,4.0,0.0,8.0
A63,350.0,7.0,842.0,5.0,1192.0,12.0
A72,0.0,170.0,0.0,170.0,0.0,340.0
AA8,6.0,4.0,1278.0,4.0,1284.0,8.0
ABE,154351067.0,2142.0,149825235.0,1990.0,304176302.0,4132.0
ABI,447088.0,496.0,1318820.0,806.0,1765908.0,1302.0
ABL,75318.0,102.0,374507.0,103.0,449825.0,205.0
ABQ,34768696.0,2319.0,52341722.0,2259.0,87110418.0,4578.0
ABR,155591.0,250.0,403017.0,290.0,558608.0,540.0
ABY,11002547.0,487.0,17460363.0,489.0,28462910.0,976.0
ACK,259364.0,1214.0,1289246.0,1344.0,1548610.0,2558.0
ACV,359950.0,455.0,1318248.0,830.0,1678198.0,1285.0
ADK,35791.0,15.0,151382.0,16.0,187173.0,31.0
ADQ,2481480.0,5081.0,4654858.0,5097.0,7136338.0,10178.0
ADS,9500.0,7.0,9520.0,5.0,19020.0,12.0
ADW,0.0,1.0,0.0,3.0,0.0,4.0
AET,42766.0,182.0,291209.0,183.0,333975.0,365.0
AEX,120.0,1.0,120.0,1.0,240.0,2.0
AFW,366175740.0,8652.0,308077841.0,7568.0,674253581.0,16220.0
AGC,0.0,1.0,11087.0,1.0,11087.0,2.0
AIN,11236.0,15.0,214909.0,15.0,226145.0,30.0
AKB,1966.0,5.0,14642.0,5.0,16608.0,10.0
AKI,5326.0,16.0,21629.0,13.0,26955.0,29.0
AKK,4219.0,291.0,110513.0,290.0,114732.0,581.0
AKN,7533164.0,2226.0,7196176.0,2195.0,14729340.0,4421.0
AKP,508172.0,370.0,1783223.0,373.0,2291395.0,743.0
ALB,20232165.0,793.0,22168019.0,795.0,42400184.0,1588.0
ANB,168393.0,46.0,656536.0,52.0,824929.0,98.0
ANC,4602604207.0,36246.0,1002794128.0,24722.0,5605398335.0,60968.0
ANI,507817.0,285.0,4627706.0,279.0,5135523.0,564.0
ANV,15051.0,27.0,64948.0,27.0,79999.0,54.0
APN,354708.0,237.0,560956.0,409.0,915664.0,646.0
ARA,15103.0,3.0,48644.0,9.0,63747.0,12.0
ARC,61294.0,269.0,278867.0,269.0,340161.0,538.0
ATK,5694.0,10.0,150557.0,11.0,156251.0,21.0
ATL,349670050.0,5142.0,483528122.0,5454.0,833198172.0,10596.0
ATT,8671.0,27.0,50257.0,24.0,58928.0,51.0
ATW,4898081.0,245.0,7418287.0,251.0,12316368.0,496.0
AUK,27395.0,54.0,194232.0,53.0,221627.0,107.0
AUO,1236.0,1.0,1263.0,1.0,2499.0,2.0
AUS,115154058.0,3432.0,137199167.0,3455.0,252353225.0,6887.0
AVL,9500.0,1.0,0.0,1.0,9500.0,2.0
AVP,2000.0,1.0,0.0,1.0,2000.0,2.0
