geoid,name,statefp,centroid_lat,centroid_lon,fips,county_name,population
31039,Cuming,31,41.91631201809609,-96.78739977094796,31039,"Cuming County, Nebraska",8976
53069,Wahkiakum,53,46.29113886601755,-123.43335878711136,53069,"Wahkiakum County, Washington",4573
35011,De Baca,35,34.342297129514186,-104.41208911681066,35011,"De Baca County, New Mexico",1580
31109,Lancaster,31,40.783893640333815,-96.68775715441787,31109,"Lancaster County, Nebraska",323673
31129,Nuckolls,31,40.17629803606243,-98.0471851922259,31129,"Nuckolls County, Nebraska",4089
72085,Las Piedras,72,18.18752549007881,-65.86933042732859,72085,"Las Piedras Municipio, Puerto Rico",35034
46099,Minnehaha,46,43.6741474519106,-96.7914375387899,46099,"Minnehaha County, South Dakota",200689
48327,Menard,48,30.88981240216065,-99.82057939418907,48327,"Menard County, Texas",1964
06091,Sierra,06,39.580682227053714,-120.51601083545442,06091,"Sierra County, California",2731
21053,Clinton,21,36.72744875557586,-85.13601203303307,21053,"Clinton County, Kentucky",9240
39063,Hancock,39,41.00184990119464,-83.66658280717166,39063,"Hancock County, Ohio",74885
48189,Hale,48,34.070395899713034,-101.82688115647406,48189,"Hale County, Texas",32247
01027,Clay,01,33.26904481539508,-85.86067943865979,01027,"Clay County, Alabama",14188
48011,Armstrong,48,34.96484787929168,-101.35740880195932,48011,"Armstrong County, Texas",1883
39003,Allen,39,40.771531717573055,-84.10580936072822,39003,"Allen County, Ohio",101685
13189,McDuffie,13,33.48276953026061,-82.48130804411274,13189,"McDuffie County, Georgia",21687
55111,Sauk,55,43.426489204020086,-89.94822150763395,55111,"Sauk County, Wisconsin",65759
05137,Stone,05,35.85985487677139,-92.15667265370459,05137,"Stone County, Arkansas",12474
41063,Wallowa,41,45.5791452701371,-117.18026516090175,41063,"Wallowa County, Oregon",7532
42007,Beaver,42,40.682148190049226,-80.34935515242643,42007,"Beaver County, Pennsylvania",166993
28061,Jasper,28,32.01907270958643,-89.11888792651304,28061,"Jasper County, Mississippi",16211
29083,Henry,29,38.385124256722776,-93.792746358256,29083,"Henry County, Missouri",22194
08109,Saguache,08,38.08070560939343,-106.28086241753307,08109,"Saguache County, Colorado",6511
37037,Chatham,37,35.70265010825743,-79.25548639950773,37037,"Chatham County, North Carolina",78319
49033,Rich,49,41.63154601845112,-111.2443857749806,49033,"Rich County, Utah",2588
40001,Adair,40,35.88369306082876,-94.65869811965045,40001,"Adair County, Oklahoma",19595
39085,Lake,39,41.909934194048304,-81.25108703085799,39085,"Lake County, Ohio",232101
51775,Salem,51,37.28640250408695,-80.05547533393361,51775,"Salem city, Virginia",25477
51121,Montgomery,51,37.174238194826344,-80.38726586078683,51121,"Montgomery County, Virginia",99159
47065,Hamilton,47,35.18067908838563,-85.16487206045937,47065,"Hamilton County, Tennessee",370913
35035,Otero,35,32.61223167357038,-105.74043472424857,35035,"Otero County, New Mexico",68235
35003,Catron,35,33.91433090888252,-108.4050593571914,35003,"Catron County, New Mexico",3685
01091,Marengo,01,32.247490964632746,-87.78961863113084,01091,"Marengo County, Alabama",19027
56023,Lincoln,56,42.26034742436803,-110.65426213899401,56023,"Lincoln County, Wyoming",20158
29011,Barton,29,37.50230748491939,-94.34709663533914,29011,"Barton County, Missouri",11685
48057,Calhoun,48,28.438986910241496,-96.6151931607057,48057,"Calhoun County, Texas",19921
51735,Poquoson,51,37.15029980794368,-76.27050764201009,51735,"Poquoson city, Virginia",12556
54075,Pocahontas,54,38.33158388789924,-80.00833060298335,54075,"Pocahontas County, West Virginia",7855
48077,Clay,48,33.78522523616978,-98.20844648726742,48077,"Clay County, Texas",10402
51095,James City,51,37.313276905928916,-76.77380275656375,51095,"James City County, Virginia",80046
31101,Keith,31,41.198798332953366,-101.6613902996974,31101,"Keith County, Nebraska",8239
31137,Phelps,31,40.5110551724611,-99.41452825618238,31137,"Phelps County, Nebraska",8983
22019,Calcasieu,22,30.22939526850218,-93.35791669700104,22019,"Calcasieu Parish, Louisiana",208668
22111,Union,22,32.83190829473306,-92.37471020835706,22111,"Union Parish, Louisiana",20914
