ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id,airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations,cargo_rank_2025,is_amazon_air
SDF,KSDF,Louisville Muhammad Ali Intl,LOUISVILLE,KY,38.174085,-85.73649361111111,500.8,3,11887,3,204F6D07-124E-47C9-B15A-2C156D485189,SDF,3552922358.0,53396.0,3406962631.0,52750.0,6959884989.0,106146.0,1,True
MEM,KMEM,Frederick W Smith Intl/Memphis,MEMPHIS,TN,35.04241138888889,-89.97667916666667,340.9,4,11120,4,DA96A371-EB42-4312-8EAF-FA237DE1E404,MEM,2840909720.0,43726.0,2524642651.0,41919.0,5365552371.0,85645.0,2,False
ORD,KORD,Chicago O'Hare Intl,CHICAGO,IL,41.97694027777778,-87.90814972222223,680.0,10,13000,8,8719978B-8B62-4688-A0AE-46450A687C68,ORD,476710316.0,7606.0,1682842620.0,10963.0,2159552936.0,18569.0,3,False
CVG,KCVG,Cincinnati/Northern Kentucky Intl,COVINGTON,KY,39.0488375,-84.66782083333334,896.1,4,12001,4,E24E4D4D-6EA0-48A5-9653-1A4682B98703,CVG,1002438137.0,17018.0,1077830521.0,17656.0,2080268658.0,34674.0,4,True
ONT,KONT,Ontario Intl,ONTARIO,CA,34.056014166666664,-117.6011875,944.1,2,12197,2,2125B26E-93B2-4B8D-9F3A-54BEDD4A4678,ONT,948475137.0,16123.0,748679132.0,15577.0,1697154269.0,31700.0,5,False
IND,KIND,Indianapolis Intl,INDIANAPOLIS,IN,39.717305555555555,-86.29463888888888,796.2,3,11200,3,43A597CD-D50E-4E3E-8D00-C6FEFAC5D498,IND,834802076.0,11773.0,756711145.0,11764.0,1591513221.0,23537.0,6,True
MIA,KMIA,Miami Intl,MIAMI,FL,25.795361111111113,-80.29011583333333,9.3,4,13016,4,28A25B5E-8EB8-4F2F-9D2B-3605D2654733,MIA,509421752.0,8565.0,1006890274.0,8926.0,1516312026.0,17491.0,7,True
LAX,KLAX,Los Angeles Intl,LOS ANGELES,CA,33.942496388888884,-118.40804861111111,127.8,4,12923,4,2C5866F1-5E27-4032-9AF8-988CE5DB82BA,LAX,714611292.0,9032.0,723345446.0,7682.0,1437956738.0,16714.0,8,False
DFW,KDFW,Dallas-Fort Worth Intl,DALLAS-FORT WORTH,TX,32.89723305555555,-97.03769472222223,606.4,7,13401,7,B371E693-B91F-40ED-ABB1-628EFE9D3111,DFW,555851570.0,8311.0,695359380.0,8732.0,1251210950.0,17043.0,9,False
JFK,KJFK,John F Kennedy Intl,NEW YORK,NY,40.63992805555556,-73.77869222222222,13.0,4,14511,4,DD5FB154-0787-4B0F-8554-C033FAFA0155,JFK,378323941.0,5393.0,820004425.0,6739.0,1198328366.0,12132.0,10,False
RFD,KRFD,Chicago/Rockford Intl,CHICAGO/ROCKFORD,IL,42.195361111111104,-89.09722222222221,742.0,2,10002,2,C10C1042-F3BA-4256-9ACE-92D1AB50B484,RFD,572123066.0,11294.0,534260664.0,11163.0,1106383730.0,22457.0,11,True
OAK,KOAK,Oakland San Francisco Bay,OAKLAND,CA,37.72126138888889,-122.22115055555555,9.0,4,10520,1,A99B9655-47F5-414C-974A-5390FBF73766,OAK,510107507.0,8505.0,535198912.0,8849.0,1045306419.0,17354.0,12,False
HNL,PHNL,Daniel K Inouye Intl,HONOLULU,HI,21.317824722222223,-157.92025027777777,13.5,6,12360,3,5B4DC1E6-846B-4FA9-AC56-95D841B38CE6,HNL,330487403.0,12860.0,551465499.0,10521.0,881952902.0,23381.0,13,False
ATL,KATL,Hartsfield/Jackson Atlanta Intl,ATLANTA,GA,33.63669961111111,-84.427864,1026.2,5,12390,5,90091CE7-1372-4182-BA14-366919A3F134,ATL,349670050.0,5142.0,483528122.0,5454.0,833198172.0,10596.0,14,False
EWR,KEWR,Newark Liberty Intl,NEWARK,NJ,40.692480555555555,-74.16868777777778,17.5,4,11000,2,6AB3CFCC-F6EE-4B71-A201-2DCA9BB7F2F1,EWR,415656782.0,7245.0,407678046.0,5916.0,823334828.0,13161.0,15,True
IAH,KIAH,George Bush Intcntl/Houston,HOUSTON,TX,29.984435277777777,-95.3414425,95.8,5,12001,5,64E25960-75A0-495F-95BF-C92621C6B448,IAH,359332551.0,5518.0,395176712.0,5736.0,754509263.0,11254.0,16,True
PHL,KPHL,Philadelphia Intl,PHILADELPHIA,PA,39.87208388888889,-75.24066305555556,35.9,4,12000,2,43D58CEC-68DC-44C1-A241-0A33C0F29415,PHL,362711465.0,7312.0,364943697.0,7523.0,727655162.0,14835.0,17,True
